N bic bdeu fnml qnml
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 8 9
10 9 14 9 9
10 9 14 9 9
10 9 15 10 10
10 9 15 10 11
10 9 15 10 9
10 9 15 10 9
10 9 15 10 9
10 9 15 10 9
10 9 15 11 10
10 9 15 11 10
10 9 15 11 10
10 9 15 11 10
10 9 15 12 11
10 9 15 12 9
10 9 15 13 11
10 9 15 13 11
10 9 15 13 9
10 9 15 15 11
10 9 15 17 11
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 15 9 9
10 9 16 10 9
10 9 16 10 9
10 9 16 11 10
10 9 16 11 10
10 9 16 18 10
10 9 16 18 9
10 9 16 18 9
10 9 16 18 9
10 9 16 18 9
10 9 16 18 9
10 9 16 18 9
10 9 16 20 10
10 9 18 18 9
10 9 18 18 9
10 9 18 18 9
10 9 18 18 9
10 9 19 12 9
10 9 19 12 9
10 9 19 12 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 19 18 9
10 9 7 10 10
10 9 7 11 10
10 9 8 10 10
10 9 8 10 10
10 9 8 10 12
10 9 8 11 10
10 9 8 11 11
10 9 8 12 11
10 9 9 10 10
10 9 9 10 12
10 9 9 11 10
10 9 9 11 11
10 9 9 11 9
10 9 9 11 9
10 9 9 13 10
10 9 9 13 10
10 9 9 13 11
10 9 9 13 9
10 9 9 15 11
10 9 9 17 8
10 9 9 17 8
10 9 9 17 9
10 9 9 8 10
10 9 9 8 9
10 9 9 9 9
20 10 10 10 10
20 10 10 10 10
20 10 10 10 11
20 10 10 10 9
20 10 10 10 9
20 10 10 11 10
20 10 10 11 10
20 10 10 11 7
20 10 10 11 8
20 10 10 12 10
20 10 10 12 10
20 10 10 12 10
20 10 10 12 11
20 10 10 12 11
20 10 10 12 11
20 10 10 12 12
20 10 10 12 12
20 10 10 12 9
20 10 10 13 10
20 10 10 13 10
20 10 10 13 10
20 10 10 13 11
20 10 10 13 9
20 10 10 14 10
20 10 10 14 11
20 10 10 14 11
20 10 10 14 11
20 10 10 14 12
20 10 10 14 12
20 10 10 15 12
20 10 10 15 9
20 10 10 16 9
20 10 10 9 10
20 10 10 9 7
20 10 10 9 8
20 10 11 10 10
20 10 11 10 9
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 10
20 10 11 11 11
20 10 11 11 11
20 10 11 11 11
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 10
20 10 11 12 11
20 10 11 12 11
20 10 11 12 11
20 10 11 12 12
20 10 11 12 13
20 10 11 12 14
20 10 11 13 10
20 10 11 13 11
20 10 11 13 11
20 10 11 13 12
20 10 11 13 9
20 10 11 14 10
20 10 11 14 10
20 10 11 14 10
20 10 11 14 10
20 10 11 14 10
20 10 11 14 11
20 10 11 14 12
20 10 11 14 12
20 10 11 16 10
20 10 11 16 11
20 10 11 16 12
20 10 11 17 12
20 10 11 17 9
20 10 11 9 8
20 10 12 10 12
20 10 12 11 10
20 10 12 11 10
20 10 12 11 12
20 10 12 12 10
20 10 12 12 10
20 10 12 12 11
20 10 12 12 11
20 10 12 12 11
20 10 12 12 12
20 10 12 12 12
20 10 12 12 12
20 10 12 13 10
20 10 12 13 10
20 10 12 13 11
20 10 12 13 11
20 10 12 13 11
20 10 12 13 11
20 10 12 14 11
20 10 12 14 11
20 10 12 14 11
20 10 12 15 10
20 10 12 8 9
20 10 13 11 10
20 10 13 11 11
20 10 13 12 11
20 10 13 13 10
20 10 13 13 12
20 10 13 13 13
20 10 13 14 11
20 10 13 15 10
20 10 13 16 11
20 10 13 16 14
20 10 13 6 7
20 10 14 10 8
20 10 14 11 10
20 10 14 11 11
20 10 14 11 12
20 10 14 11 9
20 10 14 12 11
20 10 14 12 12
20 10 14 13 10
20 10 14 13 11
20 10 14 13 11
20 10 14 13 11
20 10 14 13 12
20 10 14 14 11
20 10 15 11 12
20 10 15 11 13
20 10 15 12 13
20 10 15 13 10
20 10 15 13 12
20 10 15 13 12
20 10 15 13 13
20 10 15 15 13
20 10 16 11 10
20 10 16 13 11
20 10 16 18 15
20 10 17 20 11
20 10 6 13 10
20 10 7 12 9
20 10 7 6 6
20 10 7 9 8
20 10 8 10 10
20 10 8 10 12
20 10 8 10 9
20 10 8 11 10
20 10 8 11 10
20 10 8 11 10
20 10 8 11 10
20 10 8 11 10
20 10 8 11 11
20 10 8 11 9
20 10 8 12 10
20 10 8 12 11
20 10 8 12 9
20 10 8 13 10
20 10 8 13 11
20 10 8 13 11
20 10 8 14 12
20 10 8 14 12
20 10 8 15 11
20 10 8 8 9
20 10 8 9 12
20 10 8 9 7
20 10 9 11 10
20 10 9 11 10
20 10 9 11 10
20 10 9 11 11
20 10 9 11 8
20 10 9 11 9
20 10 9 12 10
20 10 9 12 10
20 10 9 12 11
20 10 9 12 11
20 10 9 12 11
20 10 9 12 12
20 10 9 13 10
20 10 9 13 10
20 10 9 13 11
20 10 9 13 9
20 10 9 14 11
20 10 9 14 9
20 10 9 14 9
20 10 9 16 10
20 11 10 12 11
20 11 10 12 9
20 11 10 13 10
20 11 10 13 13
20 11 10 14 10
20 11 10 14 11
20 11 10 14 13
20 11 10 15 12
20 11 10 9 9
20 11 11 11 11
20 11 11 11 11
20 11 11 11 11
20 11 11 12 10
20 11 11 12 11
20 11 11 12 11
20 11 11 12 11
20 11 11 13 10
20 11 11 13 12
20 11 11 14 10
20 11 11 15 11
20 11 11 15 11
20 11 12 11 13
20 11 12 12 11
20 11 12 12 11
20 11 12 12 11
20 11 12 12 12
20 11 12 12 9
20 11 12 13 11
20 11 12 13 13
20 11 12 13 13
20 11 12 14 11
20 11 12 14 11
20 11 12 14 11
20 11 12 14 12
20 11 12 14 12
20 11 12 14 12
20 11 12 15 11
20 11 12 15 11
20 11 12 15 11
20 11 12 15 14
20 11 12 16 12
20 11 12 17 11
20 11 12 17 13
20 11 12 8 8
20 11 12 9 9
20 11 13 11 11
20 11 13 11 13
20 11 13 12 11
20 11 13 12 12
20 11 13 12 12
20 11 13 13 12
20 11 13 14 12
20 11 13 16 12
20 11 13 17 12
20 11 13 18 12
20 11 13 7 7
20 11 14 10 12
20 11 14 11 10
20 11 14 13 11
20 11 14 13 11
20 11 14 13 12
20 11 14 14 13
20 11 14 15 12
20 11 14 8 7
20 11 15 12 11
20 11 15 12 11
20 11 15 12 12
20 11 15 14 11
20 11 15 14 13
20 11 15 14 14
20 11 15 15 12
20 11 15 17 13
20 11 15 8 6
20 11 16 12 11
20 11 16 12 12
20 11 16 14 11
20 11 16 15 12
20 11 7 11 9
20 11 8 11 10
20 11 8 11 10
20 11 8 12 10
20 11 8 12 11
20 11 8 14 12
20 11 8 14 9
20 11 9 11 10
20 11 9 12 11
20 11 9 12 11
20 11 9 12 11
20 11 9 13 11
20 11 9 13 12
20 11 9 13 12
20 11 9 13 12
20 11 9 14 11
20 11 9 14 11
20 11 9 14 12
20 11 9 14 12
20 11 9 14 12
20 11 9 14 12
20 12 10 12 12
20 12 10 14 12
20 12 12 14 12
20 12 12 14 13
20 12 13 13 11
20 12 13 15 12
20 12 14 12 12
20 12 14 12 12
20 12 14 12 12
20 12 14 12 12
20 12 14 14 13
20 12 14 14 14
20 12 15 12 12
20 12 15 12 9
20 12 15 13 13
20 12 15 13 13
20 12 16 13 12
20 12 9 13 13
20 13 11 13 13
20 13 11 17 13
20 13 14 14 12
20 3 7 7 5
20 3 9 7 7
20 4 10 6 7
20 4 12 7 7
20 4 5 6 7
20 4 6 10 7
20 4 7 6 6
20 4 9 8 5
20 5 10 9 7
20 5 11 6 5
20 5 11 6 5
20 5 12 5 5
20 5 12 8 4
20 5 13 7 7
20 5 6 5 5
20 5 6 5 6
20 5 9 8 8
20 6 12 7 7
20 6 12 8 7
20 6 13 8 5
20 6 13 8 8
20 6 14 7 7
20 6 14 9 6
20 6 7 6 6
20 6 7 8 9
20 7 10 10 7
20 7 10 10 8
20 7 10 10 8
20 7 10 10 9
20 7 10 10 9
20 7 10 11 8
20 7 10 12 10
20 7 10 12 10
20 7 10 12 9
20 7 10 18 9
20 7 10 19 7
20 7 10 6 6
20 7 10 7 7
20 7 10 7 8
20 7 10 7 8
20 7 10 8 8
20 7 10 8 8
20 7 10 8 8
20 7 10 9 7
20 7 10 9 8
20 7 10 9 8
20 7 10 9 8
20 7 10 9 8
20 7 10 9 8
20 7 10 9 8
20 7 10 9 9
20 7 11 10 9
20 7 11 10 9
20 7 11 16 7
20 7 12 10 13
20 7 12 11 8
20 7 12 16 7
20 7 12 16 7
20 7 12 16 7
20 7 12 16 7
20 7 12 16 7
20 7 12 16 7
20 7 12 16 7
20 7 12 16 8
20 7 12 18 7
20 7 12 18 7
20 7 12 18 7
20 7 12 18 7
20 7 12 18 7
20 7 12 18 7
20 7 12 18 9
20 7 12 4 5
20 7 12 6 6
20 7 13 11 10
20 7 13 16 7
20 7 13 17 8
20 7 13 18 8
20 7 13 19 8
20 7 13 19 8
20 7 13 19 8
20 7 13 9 8
20 7 15 12 10
20 7 5 6 6
20 7 6 11 10
20 7 6 12 8
20 7 6 7 6
20 7 6 8 9
