N bic bdeu fnml qnml
10 7 9 10 9
10 7 9 10 9
10 7 9 10 9
10 7 9 10 9
10 7 9 10 9
10 7 9 11 10
10 7 9 11 10
10 7 9 11 11
10 7 9 11 11
10 7 9 11 11
10 7 9 11 11
10 7 9 11 11
10 7 9 11 7
10 7 9 11 9
10 7 9 12 11
10 7 9 12 11
10 7 9 12 8
10 7 9 12 8
10 7 9 6 7
10 7 9 7 11
10 7 9 7 7
10 7 9 7 7
10 7 9 7 8
10 7 9 7 8
10 7 9 7 9
10 7 9 7 9
10 7 9 8 10
10 7 9 8 10
10 7 9 8 11
10 7 9 8 11
10 7 9 8 7
10 7 9 8 8
10 7 9 8 8
10 7 9 8 8
10 7 9 8 8
10 7 9 8 9
10 7 9 8 9
10 7 9 8 9
10 7 9 8 9
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 10
10 7 9 9 11
10 7 9 9 11
10 7 9 9 11
10 7 9 9 11
10 7 9 9 7
10 7 9 9 8
10 7 9 9 8
10 7 9 9 8
10 7 9 9 8
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 7 9 9 9
10 8 10 10 10
10 8 10 10 10
10 8 10 10 11
10 8 10 10 11
10 8 10 10 11
10 8 10 10 11
10 8 10 10 8
10 8 10 10 8
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 11 10
10 8 10 11 10
10 8 10 11 11
10 8 10 12 10
10 8 10 12 8
10 8 10 13 10
10 8 10 7 8
10 8 10 7 8
10 8 10 8 11
10 8 10 8 9
10 8 10 9 10
10 8 10 9 10
10 8 10 9 10
10 8 10 9 12
10 8 10 9 9
10 8 10 9 9
10 8 11 10 11
10 8 11 10 9
10 8 11 11 10
10 8 11 11 10
10 8 11 11 13
10 8 11 12 11
10 8 11 12 9
10 8 11 13 11
10 8 11 9 8
10 8 12 10 10
10 8 12 11 11
10 8 12 11 11
10 8 12 12 12
10 8 4 7 8
10 8 6 11 9
