N bic bdeu fnml qnml
10 17 28 24 24
10 17 28 25 25
10 17 28 26 23
10 17 28 26 25
10 17 28 26 26
10 17 28 27 18
10 17 28 27 24
10 17 28 27 27
10 17 28 27 27
10 17 28 28 21
10 17 28 28 25
10 17 28 30 25
10 17 28 32 28
10 17 29 20 21
10 17 29 20 27
10 17 29 21 21
10 17 29 21 25
10 17 29 21 26
10 17 29 23 22
10 17 29 23 26
10 17 29 23 26
10 17 29 24 19
10 17 29 24 20
10 17 29 24 24
10 17 29 24 24
10 17 29 24 25
10 17 29 25 20
10 17 29 25 23
10 17 29 25 23
10 17 29 25 23
10 17 29 25 25
10 17 29 25 26
10 17 29 25 27
10 17 29 26 22
10 17 29 26 26
10 17 29 26 28
10 17 29 27 19
10 17 29 27 24
10 17 29 27 24
10 17 29 27 27
10 17 29 28 20
10 17 29 28 21
10 17 29 28 21
10 17 29 28 21
10 17 29 28 24
10 17 29 28 25
10 17 29 28 26
10 17 29 28 27
10 17 29 29 24
10 17 29 29 25
10 17 29 29 25
10 17 29 30 21
10 17 29 30 23
10 17 29 31 24
10 17 29 31 25
10 17 30 19 24
10 17 30 21 25
10 17 30 23 19
10 17 30 23 28
10 17 30 24 21
10 17 30 24 23
10 17 30 24 28
10 17 30 25 22
10 17 30 25 24
10 17 30 25 24
10 17 30 25 25
10 17 30 25 25
10 17 30 25 25
10 17 30 26 23
10 17 30 27 22
10 17 30 27 23
10 17 30 27 23
10 17 30 27 23
10 17 30 27 24
10 17 30 27 24
10 17 30 27 25
10 17 30 27 28
10 17 30 27 29
10 17 30 28 24
10 17 30 28 25
10 17 30 28 26
10 17 30 28 26
10 17 30 28 27
10 17 30 28 29
10 17 30 29 20
10 17 30 30 23
10 17 30 31 27
10 17 30 32 21
10 17 31 23 23
10 17 31 23 23
10 17 31 23 24
10 17 31 23 24
10 17 31 24 19
10 17 31 24 21
10 17 31 24 25
10 17 31 25 21
10 17 31 25 23
10 17 31 25 23
10 17 31 25 24
10 17 31 25 24
10 17 31 25 24
10 17 31 25 25
10 17 31 25 26
10 17 31 25 26
10 17 31 26 20
10 17 31 26 24
10 17 31 27 20
10 17 31 27 23
10 17 31 27 25
10 17 31 27 26
10 17 31 27 27
10 17 31 28 24
10 17 31 28 27
10 17 31 29 22
10 17 31 29 22
10 17 31 29 24
10 17 31 29 25
10 17 31 29 27
10 17 31 30 24
10 17 31 30 25
10 17 32 19 24
10 17 32 20 21
10 17 32 23 21
10 17 32 23 21
10 17 32 24 21
10 17 32 24 21
10 17 32 24 21
10 17 32 24 21
10 17 32 25 21
10 17 32 25 27
10 17 32 26 20
10 17 32 26 21
10 17 32 26 23
10 17 32 26 24
10 17 32 26 27
10 17 32 27 21
10 17 32 27 22
10 17 32 27 23
10 17 32 27 26
10 17 32 28 22
10 17 32 28 22
10 17 32 28 23
10 17 32 28 24
10 17 32 28 27
10 17 32 28 27
10 17 32 29 24
10 17 32 29 25
10 17 32 29 26
10 17 32 30 25
10 17 32 31 25
10 17 32 31 27
10 17 32 32 24
10 17 33 22 26
10 17 33 23 19
10 17 33 25 29
10 17 33 26 23
10 17 33 26 27
10 17 33 27 16
10 17 33 27 25
10 17 33 28 25
10 17 33 28 27
10 17 33 29 23
10 17 33 29 27
10 17 33 31 23
10 17 33 32 28
10 17 34 23 20
10 17 34 25 22
10 17 34 26 24
10 17 34 26 25
10 17 34 27 24
10 17 34 27 25
10 17 34 27 27
10 17 34 28 26
10 17 34 29 24
10 17 34 29 26
10 17 34 29 28
10 17 34 32 27
10 17 34 34 28
10 17 35 22 23
10 17 35 24 23
10 17 35 26 23
10 17 35 26 24
10 17 35 27 22
10 17 35 27 25
10 17 35 28 22
10 17 35 28 27
10 17 35 29 25
10 17 35 30 27
10 17 35 31 26
10 17 35 32 25
10 17 36 27 24
10 17 36 29 28
10 17 36 30 28
10 17 36 32 23
10 17 36 35 28
10 17 37 30 29
10 17 37 31 27
10 17 40 24 25
10 18 22 26 21
10 18 24 19 19
10 18 24 22 22
10 18 24 24 20
10 18 25 21 17
10 18 25 21 23
10 18 25 26 25
10 18 25 27 21
10 18 26 20 18
10 18 26 21 19
10 18 26 22 21
10 18 26 24 19
10 18 26 24 21
10 18 26 25 20
10 18 26 26 20
10 18 26 26 24
10 18 26 26 25
10 18 27 18 21
10 18 27 20 22
10 18 27 24 23
10 18 27 24 24
10 18 27 25 25
10 18 27 26 23
10 18 27 26 26
10 18 28 18 23
10 18 28 21 20
10 18 28 22 21
10 18 28 22 23
10 18 28 22 29
10 18 28 23 22
10 18 28 24 21
10 18 28 24 23
10 18 28 25 22
10 18 28 26 22
10 18 28 26 23
10 18 28 26 25
10 18 28 27 22
10 18 28 27 26
10 18 28 28 24
10 18 28 30 26
10 18 28 30 27
10 18 29 22 24
10 18 29 23 23
10 18 29 23 23
10 18 29 24 25
10 18 29 24 27
10 18 29 25 25
10 18 29 25 26
10 18 29 26 23
10 18 29 26 25
10 18 29 27 20
10 18 29 27 24
10 18 29 27 26
10 18 29 28 25
10 18 29 28 26
10 18 29 28 26
10 18 30 23 21
10 18 30 23 21
10 18 30 23 23
10 18 30 23 26
10 18 30 24 23
10 18 30 24 23
10 18 30 24 28
10 18 30 25 21
10 18 30 25 23
10 18 30 25 24
10 18 30 25 25
10 18 30 26 24
